Name,Original Entry Timestamp,Verified Timestamp,Description,Services,Phone Numbers,State,City,Location
UNKNOWN,,2021-04-30 09:39:12.320,"Guntur Covid fighter's team:  not verified: 8143222456, 9397602553, 9010615786, 9493314786, 7396722171 They assist in cremations and not in beds",Hospital Beds,"['+919848940304', '+918143222456', '+919397602553', '+919010615786', '+919493314786', '+917396722171']",Andhra Pradesh,,
UNKNOWN,,2021-05-09 11:33:18.910,"not verified : 8712912987, 9989153803, 9849122274 dfdfd No stock with the person",Oxygen,"['+918712912987', '+918712912987', '+919989153803', '+919849122274']",Andhra Pradesh,,
Vinay,,2021-05-01 13:41:13.368,  possibly available on 02/05/21,Oxygen,['+919350068204'],Andhra Pradesh,,
Rafi,,2021-04-29 04:41:02.176,"chinna waltair, vizag, landmark: near reliance fresh ",Oxygen,['+919966012368'],Andhra Pradesh,,
Mylan helpline,,2021-04-30 14:28:27.925,All India Helpline for Remdesvir   ; Medicine name: Remdesivir,Medicine,['+917829980066'],Andhra Pradesh,,
Sanjay Sarkar,,2021-04-30 10:16:57.708,  ,Oxygen,['+918809989999'],Bihar,,
Sanjha Chulha,,2021-04-29 11:11:01.494,"Verified Location: Raigarh, Chattisgarh",Food,['+918223950000'],Chhattisgarh,,
Sahu Tiffin Services,,2021-04-29 11:10:08.628,"Verified  Location: Raigarh, Chattisgarh",Food,['+919770177261'],Chhattisgarh,,
Vijay Jadwani,,2021-04-29 11:12:28.117,"Tab Fabiflu , Tab Methylprednisolone.  Tab Fabiflu , Tab Methylprednisolone. Location: Raigarh, Chattisgarh",Medicine,['+919826133033'],Chhattisgarh,,
नवीन चेतवानी,,2021-04-29 10:48:17.050,"  Location: Raigarh, Chattisgarh",Oxygen,['+917582820202'],Chhattisgarh,,
नदंन अग्रवाल,,2021-04-29 11:25:20.235,"  Location: Raigarh, Chattisgarh",Oxygen,['+917974264662'],Chhattisgarh,,
Vijay Beriwal,,2021-04-29 10:49:37.045,"  Location: Raigarh, Chattisgarh",Oxygen,['+917999856661'],Chhattisgarh,,
मनीष उदासी,,2021-04-29 10:53:11.386,"  Oxygen cylinder and oxygen concentrators available. Location: Raigarh, Chattisgarh",Oxygen,['+919425572495'],Chhattisgarh,,
Gopal Prasad Agrawal,,2021-04-29 12:41:03.185,"  Location: Raigarh, Chattisgarh",Oxygen,['+919589201010'],Chhattisgarh,,
Manish Rodha ,,2021-04-30 09:46:33.224,"Location: Raigarh, Chattisgarh Sindhi Colony, Raigarh. Working",Oxygen,['+919826408111'],Chhattisgarh,,
तलरेजा (जान प्लेयर ),,2021-04-30 09:44:51.057,   yes working fine. has had 5 calls already for verification Location: Raigarh. Has a team with helping,Oxygen,['+919827119444'],Chhattisgarh,,
चंदर् कांत पजंबी,,2021-04-30 09:34:06.575,"   Raigad, Chattisgarh, working 24/7",Oxygen,['+919827153700'],Chhattisgarh,,
Oxygen Cylinder,,2021-04-30 10:38:40.359,Bilaspur  Very limited supply.,Oxygen,['+919827180896'],Chhattisgarh,,
Lupin Gases Pvt. Ltd.,,2021-04-23 22:23:52.000,Raipur,Oxygen,['+919893600003'],Chhattisgarh,,
Ricky Chawla,,2021-05-01 09:39:47.489,"  Message he sent  So sorry not recv ur call ...aapsab ka kaam hi kar rahe hum log.. Send me what's up .. All detail patient name age oxygen level ki pic  .. address, number.. Aapka msg oxygen group mai kiya jayga jiske pass bhi oxygen machine ya salendar hoga aapko call aajaygaa",Oxygen,['+919993455551'],Chhattisgarh,,
प्रिया अनुराग गोयल,,2021-04-23 11:17:02.180,,Blood / Plasma,,Chhattisgarh,,
शिवम् अग्रवाल,,2021-04-28 11:35:46.918,,Blood / Plasma,,Chhattisgarh,,
राज आदित्य,,2021-04-28 11:36:41.613,,Blood / Plasma,,Chhattisgarh,,
श्रीमती ज्योति अग्रवाल,,2021-04-29 12:40:15.031,"  Location: Raipur, Chattisgarh",Blood / Plasma,['+919827242084'],Chhattisgarh,,
Bara Hindurao Hospital,,2021-04-30 18:45:09.698,   Out of beds @ 1910 hrs 29/4/21 Out of beds,Hospital Beds,['+911123905839'],Delhi,,
Sardar Patel Hospital,,2021-04-30 14:28:56.571,Add 011 before calling.  ,Hospital Beds,['+911126655959'],Delhi,,
Satyawati Harishchand,,2021-05-01 07:31:24.483,"01127787008, 01127781044, 01127781045, 01127781046  ",Hospital Beds,"['+911127781047', '+911127787008', '+911127781044', '+911127781045', '+911127781046']",Delhi,,
Lok Nayak Hospital,,2021-05-01 13:44:34.942,  invalid number as of 1/05/21,Hospital Beds,['+911123236000'],Delhi,,
Ram Manohar Lohia Hospital,,2021-05-06 08:12:08.247,   ,Hospital Beds,['+911123365525'],Delhi,,
Northern Railway,,2021-05-06 08:12:12.602,  invalid number as of 1/05/21 ,Hospital Beds,['+911123747984'],Delhi,,
"St. Stephens Hospital, Tis Hazari",,2021-04-27 00:03:15.549,,Hospital Beds,,Delhi,,
Deen Dayal Upadhyay Hospital,,2021-04-27 15:30:27.473,,Hospital Beds,,Delhi,,
"Jeewan Moti Khera Hospital, Nangloi",,2021-04-27 15:31:08.579,,Hospital Beds,,Delhi,,
Max East/West Block,,2021-04-29 13:42:36.883,   out of beds at 1910 hrs 29/4/21,Hospital Beds,['+911126515050'],Delhi,,
Safdarjung Hospital,,2021-04-28 06:19:43.193,,Hospital Beds,,Delhi,,
"AIIMS, Trauma Delhi",,2021-04-30 14:28:53.170,   ,Hospital Beds,['+911126731109'],Delhi,,
ESIC Hospital Okhla,,2021-04-24 03:46:14.000,,Hospital Beds,,Delhi,,
Dr Baba Saheb Ambedkar Hospital,,2021-04-30 14:29:07.159,"  Full, no beds available.  ",Hospital Beds,['+911127049963'],Delhi,,
"Max Smart Gujarmal Modi hospital ,Saket",,2021-04-24 03:46:14.000,,Hospital Beds,,Delhi,,
City Max Hospital,,2021-04-27 15:15:33.915,Para Ring Road,Hospital Beds,['+916392678013'],Delhi,,
"Venkateshwar Hospital, Dwarka",,2021-04-24 03:46:14.000,,Hospital Beds,,Delhi,,
Priyanshu Mishra,,2021-05-08 06:24:15.365,Need doctor consultation for covid patient. ,Hospital Beds,['+918076926300'],Delhi,,
Ankerite Ayurvedic,,2021-04-22 14:42:54.979,"Village Paravar Purab, Sausir Khera, Mohanlalganj, Uttar Pradesh 226301, India",Hospital Beds,['+918400700188'],Delhi,,
"HAHC Hospital, Hamdard Nagar",,2021-04-24 03:46:14.000,,Hospital Beds,,Delhi,,
Rajeev Gandhi Super Speciality Hospital,,2021-04-30 14:29:01.876,"01122890789, 01122890611, 8595524745 Out of beds ",Hospital Beds,"['+918595524745', '+911122890789', '+911122890611', '+918595524745']",Delhi,,
GTB Hospital,,2021-04-27 19:01:54.655,,Hospital Beds,,Delhi,,
Gaurav Garg ,,2021-04-26 10:02:28.797,,Hospital Beds,,Delhi,,
Sanjeevani Medical Center,,2021-04-22 14:42:54.979,"10, Kursi Rd, Phool Bagh Colony, Lucknow, Uttar Pradesh 226012, India",Hospital Beds,['+918840466030'],Delhi,,
Khandelwal Hospital And Urology Center,,2021-04-24 03:46:14.000,,Hospital Beds,,Delhi,,
Ambedkar hospital,,2021-05-04 11:10:48.257,"need spo2 more than 85 to be admitted, no info on number of beds yet Number is switched off at 1830 hrs 29/4/21 Switched off  Icu beds not available",Hospital Beds,['+919310586617'],Delhi,,
Ajanta,,2021-04-22 14:42:54.979,"ABC Complex, 765, Kanpur - Lucknow Rd, Alambagh, Lucknow, Uttar Pradesh 226005, India",Hospital Beds,['+919335473241'],Delhi,,
Shailendra Kumar,,2021-04-27 04:55:19.054,Need an ICU Bed urgently. Spo2 level has dipped to 60,Hospital Beds,['+919386346913'],Delhi,,
Maa Chandrika Hostpital,,2021-05-06 08:12:17.459,"Bargadi, Bakshi Ka Talab, Lucknow, Uttar Pradesh 226016, India Switched off ",Hospital Beds,['+919415020266'],Delhi,,
Sri Sai Life Hospital,,2021-04-22 14:42:54.979,Mohanlalganj,Hospital Beds,['+919450407843'],Delhi,,
AIIMS Jhajjar,,2021-04-24 03:46:14.000,,Hospital Beds,,Delhi,,
,,2021-04-24 03:46:14.000,,Hospital Beds,,Delhi,,
Tulsi Multispeciality Hospital & Critical Care Unit,,2021-04-24 03:46:14.000,,Hospital Beds,,Delhi,,
VENTILATORS AT HOME,,2021-04-22 14:42:54.979,,Hospital Beds,,Delhi,,
Acharyashree Bhikshu Govt. Hospital,,2021-04-24 03:46:14.000,,Hospital Beds,,Delhi,,
"Holy Family Hospital, Okhla",,2021-04-24 03:46:14.000,,Hospital Beds,,Delhi,,
Pushpawati Singhania Hospital,,2021-04-24 03:46:14.000,,Hospital Beds,,Delhi,,
"Surya Hospital, Krishna Nagar",,2021-04-24 03:46:14.000,,Hospital Beds,,Delhi,,
"Maharaja Agarsain Multispecialty Hospital, Narela",,2021-05-01 13:48:08.821,  unavailable as of 1/03/21,Hospital Beds,['+919891654929'],Delhi,,
Maharaja Agrasen Hospital,,2021-05-08 06:24:21.843,   ,Hospital Beds,['+919910489495'],Delhi,,
Vinayak Trauma Center,,2021-04-27 16:42:32.564,"Alambagh ring road, Buddheshwar Chauraha, opp. flyover, Lucknow, Uttar Pradesh 226017, India",Hospital Beds,['+919919604383'],Delhi,,
"Sri Balaji Action Medical Inst., Paschim Vihar",,2021-05-08 06:24:29.534,   ,Hospital Beds,['+919999174129'],Delhi,,
K K Surgical & Maternity Centre,,2021-05-08 06:24:26.187,  switched off as of 1/05/21 ,Hospital Beds,['+919999577020'],Delhi,,
Tiffin Services,,2021-05-01 07:05:39.532,"@Rs. 3 Per plate - Preet Vihar, Swasthya Vihar, Chitra Vihar, GURUANGAD NAGAR, Gujrat Vihar, Shankar Vihar, Rajdhani Enclave ",Food,['+917290896969'],Delhi,,
Namita (Tilak Nagar),,2021-04-27 15:34:49.695,,Food,,Delhi,,
Shubham Chawla,,2021-05-01 07:07:43.776,west n south delhi ,Food,['+918146767455'],Delhi,,
Mrs. Ragini Malhotra ,,2021-05-01 07:07:51.140,Faridabad ,Food,['+918178035411'],Delhi,,
St. Mary's Caterers Tiffin Service,,2021-05-01 07:07:55.487,East Delhi ,Food,['+918178853638'],Delhi,,
Smriti Murarka,,2021-05-01 07:06:59.610,Gurgaon: South City 1   ,Food,['+918297071234'],Delhi,,
Anuj Chugh,,2021-04-27 15:39:22.967,west n south delhi,Food,['+918527560567'],Delhi,,
Srishti Sensarma ,,2021-04-23 23:21:55.960,CR Park/Delhi NCR,Food,['+918586985336'],Delhi,,
Manju Sarma,,2021-04-27 15:40:16.647,,Food,,Delhi,,
PRAGYAA,,2021-04-23 23:21:55.960,FARIDABAD,Food,['+918595891126'],Delhi,,
ANITA,,2021-04-27 15:41:51.560,LAJPAT NAGAR,Food,['+918792257463'],Delhi,,
Prerna,,2021-04-27 15:43:01.144,Gurgaon: South City 1,Food,['+918800024155'],Delhi,,
MOTHER HOUSE WORLD,,2021-04-23 23:21:55.960,ALL OF SOUTH DELHI,Food,['+918920625454'],Delhi,,
Ahuja Residencies,,2021-04-22 14:42:54.979,Gurugram,Food,['+919205992345'],Delhi,,
TANMAY VERMA,,2021-04-23 23:21:55.960,EAST DELHI,Food,['+919310124645'],Delhi,,
Tasty Tiffin,,2021-05-01 07:07:10.726,West Delhi ,Food,['+919311851321'],Delhi,,
THE HOUSE OF KITCHENS,,2021-04-22 14:42:54.979,NAMRATA (WEST DELHI),Food,['+919313327121'],Delhi,,
Shradha Saraf,,2021-04-27 15:48:05.079,Gurgaon: All Over,Food,['+919319273567'],Delhi,,
Ruchi Chadha,,2021-04-23 23:21:55.960,Delhi,Food,['+919320407074'],Delhi,,
BHARTIYA BHOJAN COMPANY,,2021-04-27 15:49:46.445,All over Delhi NCR,Food,['+919354807919'],Delhi,,
THE HOUSE OF KITCHENS,,2021-04-22 14:42:54.979,"KalkaJi (KUSHA), TWINKLE:  9810084988",Food,"['+919582555032', '+919810084988']",Delhi,,
BATMAN TIFFIN SERVICE,,2021-04-23 23:21:55.960,NORTH DELHI,Food,['+919582754430'],Delhi,,
Anuradha Chandra,,2021-04-27 16:07:17.386,Gurgaon Sector 69,Food,['+919650935551'],Delhi,,
SAVOURY AND SAGE,,2021-04-27 15:52:25.125,All over Delhi NCR,Food,['+919654562471'],Delhi,,
Rajesh,,2021-04-27 15:53:36.236,"Noida sector 18, Gurudwara",Food,['+919654714986'],Delhi,,
Prabhjot Kaur ,,2021-04-27 16:33:21.560,"Gurgaon Sector 69, 70, Sohna Road",Food,['+919654876385'],Delhi,,
Mona,,2021-04-27 15:58:28.395,"Paschim Vihar, Delhi",Food,['+919711167475'],Delhi,,
TUMMYFUL TIFFIN ,,2021-05-01 07:05:54.548,All over Delhi NCR ,Food,['+919711150463'],Delhi,,
Sheetal Midha ,,2021-04-27 15:59:16.857,"Gurgaon DLF Phase 1,2,3",Food,['+919717484071'],Delhi,,
SOUMYA,,2021-04-23 23:21:55.960,GURGAON,Food,['+919717741360'],Delhi,,
DELHI TIFFINS,,2021-05-01 07:12:52.091,JANAKPURI ,Food,['+919718029639'],Delhi,,
Preet Kaur,,2021-05-01 07:52:44.127,"WhatsApp this number. Please don't call. They provide breakfast, lunch and dinner (vegetarian meals) for free in Delhi NCR.",Food,['+919810061306'],Delhi,,
Twinkle,,2021-04-23 23:21:55.960,Kalkaji,Food,['+919810084988'],Delhi,,
REHSMA'S KITCHEN,,2021-04-23 23:21:55.960,VASANT KUNJ,Food,['+919810229022'],Delhi,,
RAVINDER SINGH,,2021-04-23 23:21:55.960,RAJOURI GARDEN,Food,['+919810275525'],Delhi,,
Manisha's Kitchen ,,2021-05-01 07:05:59.977,"9717734284, Noida, Indrapuram, Vaishali and Vasundhra ",Food,"['+919810346672', '+919717734284']",Delhi,,
Bimbita Aggarwal,,2021-04-27 16:12:29.139,"Sarvodaya Enclave, Adhchini",Food,['+919810367679'],Delhi,,
MUMMY'S KITCHEN,,2021-04-23 23:21:55.960,LAJPAT NAGAR,Food,['+919810462091'],Delhi,,
