,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicines (Remdesivir and Others),,,,,,Oxygen,,,,,Hospital Beds,,,,,Plasma/ Blood,,,,,Tiffin Services,,,,,Quarantine Centres,,,,,,Other Miscelleanous Services,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distributor Name,Medicine name,Area,Contact,Any other details,,Distributor Name,Area,Mobile no.,Any other details,,Hospital Name,Area,Contact ,Any other details,,Blood group,Area,Name,Contact,,Name,Contact,Area,Any other details,,Name,Area,Contact ,Cost per day,Any other details,,Name,Area,Contact ,Any other details,,,,,,,,,,,,,,,,,,,,
Sadhana Medico Traders & Medical,Remdesivir,Raipur,9329106333 / 7714044432,,,Raipur Iron Steel Traders Association - Vasanik RISHTA Karya,"Samata Arcade, Samata colony Raipur",9301912546.0,,,Chhattisgarh Dept. of Health Hospital Bed Directory,Chhattisgarh,,https://cg.nic.in/health/covid19/RTPBedAvailable.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jain Medical Stores,Remdesivir,Raipur,8839670706.0,,,Raipur Iron Steel Traders Association - Sanjay Jain,"Samata Arcade, Samata colony Raipur",9425208709.0,,,Shri Medishine Hospital,Raipur,"07714222999, 08067506880", ,,,,,,,,6263681180.0,Raipur,Free Tiffin service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumar Medicose,Remdesivir,Raipur,9827110901.0,,,Raipur Iron Steel Traders Association - Mukesh Goyal,"Samata Arcade, Samata colony Raipur",9329100633.0,,,Aarogya Hospital,Raipur,7714044115.0,,,,,,,,,,,,,,,,,,,Apolo Diagnostic Centre, ,7509999390.0,Blood Collection Service at Home & CT Scan,,,,,,,,,,,,,,,,,,,,
Laxmi Medical Agency,Remdesivir,Raipur,9425250777 / 7000042458,,,Raipur Iron Steel Traders Association - Visambar Agarwal,"Samata Arcade, Samata colony Raipur",9425220352.0,,,Devi Laxmi Hospital,Raipur,7712421964.0,,,,,,,,,,,,,,,,,,,Dr. Ruprela Diagnostic, ,9713355533.0,Blood Collection Service at Home & CT Scan,,,,,,,,,,,,,,,,,,,,
United Medical Agency,Remdesivir,Raipur,0771- 2234505 / 9755755555,,,Raipur Iron Steel Traders Association - Ashok Arora,"Samata Arcade, Samata colony Raipur",9827145563.0,,,Suyash Hospital,Raipur,7712575275.0,,,,,,,,,,,,,,,,,,,Raipur Diagnostic Centre, ,8878645677.0,Blood Collection Service at Home & CT Scan,,,,,,,,,,,,,,,,,,,,
Jai Medical Agencies,Remdesivir,Raipur,9826901000.0,,,,,,,,Raipura Hospital,Raipur,9754339746.0,,,,,,,,,,,,,,,,,,,Tiwary Clinical Lab,,6262115511.0,Blood Collection Service at Home & CT Scan,,,,,,,,,,,,,,,,,,,,
Khatri Medical And Surgicals Shop,Remdesivir,Raipur,7714025924.0,,,Choube Colony Trust - N C Jain,Raipur,9425211223.0,,,Shri Mahadevam,Raipur,7714907575.0,,,,,,,,,,,,,,,,,,,SRL Lab,,8080444255.0,Blood Collection Service at Home & CT Scan,,,,,,,,,,,,,,,,,,,,
Suyash Agencies Shop,Remdesivir,Raipur,9826685444.0,,,Choube Colony Trust - R Y Joglekar,,9329113642.0,,,Mishra Speciality Hospital,Raipur,7714037575.0,,,,,,,,,,,,,,,,,,,Lal Path Lab,,"9827401597, 9179589006",Blood Collection Service at Home & CT Scan,,,,,,,,,,,,,,,,,,,,
GITIKA PHARMACEUTICALS,Tocilizumab,"SHOP NO. 12-A,GROUND & BASEMENT FLROLD MEDICAL COMPLEXRAJBANDHA MAIDAN, WARD NO. 36,Raipur,492001",9303329640.0,,,Choube Colony Trust - Dev Prakash Verma,,9425216133.0,,,Ramkrishna,Raipur,7716165656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAIN MEDICAL STORES RAIPUR,Tocilizumab,"28,29 NEW MEDICAL COMPLEXRAJBANDHA MAIDANRAIPUR,RAIPUR,492001",8839670706.0,,,,,,,,Shri Narayana Hospital,Raipur,9300373737.0,,,,,,,,,,,,,,,,,,,Helpline numbers,,8602270023 ; 8602290023; 8602780023; 8602920023,,,,,,,,,,,,,,,,,,,,,
