,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicines (Remdesivir and Others),,,,,,Oxygen,,,,,Hospital Beds,,,,,Plasma/ Blood,,,,,Tiffin Services,,,,,Quarantine Centres,,,,,,Other Miscelleanous Services,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distributor Name,Medicine name,Area,Contact,Any other details,,Distributor Name,Area,Mobile no.,Any other details,,Hospital Name,Area,Contact ,Any other details,,Blood group,Area,Name,Contact,,Name,Contact,Area,Any other details,,Name,Area,Contact ,Cost per day,Any other details,,Name,Area,Contact ,Any other details,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pratham Children Hospital,Kudasan,9601944518.0,"Kids ICU, DR Hiren Prajapati",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKUR DISTRIBUTORS,Tocilizumab,"8. A TO Z, SUPER MARKET,MEMON MARKET COMPLEX,STATION ROADKALOL,KALOL,382721",02762 -221487 02762 -221,jlallubhai123@gmail.com,,,,,,,United Eduplus Hospital,,,120 beds with ICU facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRISHNA MEDICAL STORE,Tocilizumab,"PLOT NO. B 35  GIDCGROUND FLR SECTOR 25SECTOR 25 GANDHINAGARGANDHINAGAR,GANDHINAGAR,382016",26633110  2663985499241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. K. MEDICAL AGENCY,Tocilizumab,"G/61, YOGI COMPLEX, 1ST FLOOR,MAHINDRA MILL ROAD, KALOLTA - KALOL,KALOL,KALOL,382761",9427380784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSHABH CHEMIST,Tocilizumab,"Plot no 341/1,Ground FloorSector  29Near GH 6,Gandhinagar,GANDHINAGAR,380029",2.32484789408641e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YERA MEDICAL AGENCY,Tocilizumab,"PLOT NO-294, BASEMENT B-1,""""""ABHINANDAN APPARTMENT""""""OPP, CHURCH, SECTOR 23GANDHINAGAR,GANDHINAGAR,382023",9824419220 948640000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
