,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicines (Remdesivir and Others),,,,,,Oxygen,,,,,Hospital Beds,,,,,Plasma/ Blood,,,,,Tiffin Services,,,,,Quarantine Centres,,,,,,Other Miscelleanous Services,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distributor Name,Medicine name,Area,Contact,Any other details,,Distributor Name,Area,Mobile no.,Any other details,,Hospital Name,Area,Contact ,Any other details,,Blood group,Area,Name,Contact,,Name,Contact,Area,Any other details,,Name,Area,Contact ,Cost per day,Any other details,,Name,Area,Contact ,Any other details,,,,,,,,,,,,,,,,,,,,
BHARAT MEDICAL AGENCY,Tocilizumab,"F-FAILASH COMPLEXBUS STATION RD.GONDAL,GONDAL,360311",9979052005.0,bharatvivekgondal@gmail.com,,Jayditya Gas agency,Raiyya Chokdi,91048 11112,Refill also available,,,,9979139999.0,Aanal,,,,,,,,,,,,,,,,,,Ziks group,Rajkot,9723425704.0,Financial Help to corona patients & families,,,,,,,,,,,,,,,,,,,,
KOTECHA ENTERPRISE,Tocilizumab,"DHANRAJ,DR. RADHAKRISHNA ROAD,RAJKOTRAJKOT,RAJKOT,360001","2812450230, 2816539330",kotechaent@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aanal,,9979139999.0,Home Care,,,,,,,,,,,,,,,,,,,,
SAURASHTRA SURGICAL MEDICAL AGENCY,Tocilizumab,"MAITRI OPP.TALUKA SCHOOLNR.MOTI TANKI,P.O.BOX 123RAJKOT,RAJKOT,360001",9825223432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Covid Help,Rajkot,9499806828.0,,,,,,,,,,,,,,,,,,,,,
SHREE SHAKTI AGENCY,Tocilizumab,"1-2, ORBIT CENTREGROUND FLOOR,MOTI TANKI CHOWKRAJKOT,RAJKOT,360001",2812460870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREE RAM MEDICAL AGENCIES,Tocilizumab,"GIRIRAJ KUNJ,DR.RAJENDRA PRASAD ROAD,RAJKOTRAJKOT F 24,RAJKOT,360001",2812447183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAJENDRA PHARMACY,Tocilizumab,"ARIHANT PLAZA GROUND FLOOR,MOTI TANKICHOCKRAJKOT.,RAJKOT,360001",2812449826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURAJ ENTERPRISE,Tocilizumab,"DR.RADHAKRISHNA ROAD,NR. MOTI TANKI,RAJKOT,RAJKOT,360001",2812449826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHUBHAM AGENCIES,Tocilizumab,"F-KAILASH COMPLEX 1ST FLOOR,""BUS STATION ROAD,GONDALGONDAL  360 311,GONDAL,360311",2825650158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AALAP MEDICAL AGENCY,Tocilizumab,"108, AALAP -A COMPLEX,108, AALAP -A COMPLEX,LIMBDA CHOWK,RAJKOT,RAJKOT,360001","02812464275, 02816539670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labh Agencies,Tocilizumab,"106/107, Gurukrupa TowerMoti Tanki ChawkRajkot,Rajkot,360001",9428344807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
