,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicines (Remdesivir and Others),,,,,,Oxygen,,,,,Hospital Beds,,,,,Plasma/ Blood,,,,,Tiffin Services,,,,,Quarantine Centres,,,,,,Other Miscelleanous Services,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distributor Name,Medicine name,Area,Contact,Any other details,,Distributor Name,Area,Mobile no.,Any other details,,Hospital Name,Area,Contact ,Any other details,,Blood group,Area,Name,Contact,,Name,Contact,Area,Any other details,,Name,Area,Contact ,Cost per day,Any other details,,Name,Area,Contact ,Any other details,,,,,,,,,,,,,,,,,,,,
,,,,,,Bonny bhai,All over Surat,9824058898.0,All over Surat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.B.C. DISTRIBUTORS,Tocilizumab,"401/402/403SURAT DAWA BAZARVASTADEVDI, RDKATARGAMSURAT,SURAT,395004",9825861920.0,abc.sureshramani@gmail.com,,Sachin Industry,Sachin GIDC,9824058898.0,Oxygen Cylinder Available,,Amruta Hospital,Surat,2612244979.0,13 Oxygen beds available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATUL MEDICO,Tocilizumab,"12, 2654, MEHERVAN PARKVANKI BORDI, SAIYADPURASURAT,SURAT,395003",2612428415.0,atulmedicoo@gmail.com,,OXYGEN CYLINDERS AND REFILL AVAILABLE,Surat,9824058898.0,,,Nadkarni's 21st Century Hospitals and Test Tube Baby Centre,Surat,0261-2490190,"1 Ventilator, 3 Oxygen Beds & 2 ICU available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOSHI BROTHERS,Tocilizumab,"PROPERTY NO. 12/1702ND FLOOR,HEALTH POINT COMPLEXBEHIND MEHTA PETROL PUMPGIRDHARNAGAR,HIMATNAGAR,383001",277240876.0,amitjoshibrothers@gmail.com,,Agrawal Samaj Health Centre,Ghoddod Road,9327323237.0,Oxygen Cylinder Available,,Aadhya Hospital,Surat,9979747619.0,2 Oxygen Beds Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K RAJ & CO.,Tocilizumab,"12/1148, 1ST FLOORRAZAK BAND LANE,DAR-E-ELAAF,LUHAR POLE,SHAHPORE,,SURAT,395003",2612438769.0,k.raj.co.surat@gmail.com,,Shri Rangila Shyam Seva Samiti,New City Light Road.,9313995971.0,Oxygen Cylinder Available,,Vrindavan Hospital,Surat,8469355522.0,9 Oxygen beds available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADHAKRISHNA MEDICAL AGENCY,Tocilizumab,"Shop no. 201 to 2062nd FlSurat Dawa BazzarVasta Devdi RdKatargam,SURAT,395004",0261-2418826,,,Agrawal Vikas Trust,City Light Road,9328348021.0,Oxygen Cylinder Available,,SAACHI Children Hospital,Surat,7383303095.0,"10 oxygen , 1 ICU available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROYAL DISTRIBUTORS,Tocilizumab,"301 TO 305 3RD FLOORSURAT DAWA BAZAARB/H KIRAN HOSPITAL, VASAT DEVDI RDKATARGAMSURAT,SURAT,395004",9825956301.0,,,Pranav," Hojiwala Industrial estate,
Sachin Apparel Park",9724811555.0,Oxygen Refilling Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREE NAVDURGA MEDICAL AGENCY,Tocilizumab,"BASEMENT,AKASH GANGA APPTNR. DR. BHACCA DISPENSARYWANKI BORDI, SAIYEDPURA,SURAT,SURAT,395003",2613292807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREE SARSWATI MEDICAL AGENCIES,Tocilizumab,"12/1781, 1782/A, Basementvakil street, shahporeopp. Motiwala masjidHanapark,SURAT,395003",26222434290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAIBHAV SALES,Tocilizumab,"PUSHPAK', UPALI BAZARBARDOLI,BARDOLI,394601",2622221094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
