,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicines (Remdesivir and Others),,,,,,Oxygen,,,,,Hospital Beds,,,,,,Plasma/ Blood,,,,,Tiffin Services,,,,,Quarantine Centres,,,,,,Other Miscelleanous Services,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distributor Name,Medicine name,Area,Contact,Any other details,,Distributor Name,Area,Mobile no.,Any other details,,Hospital Name,Area,Name,Contact ,Any other details,,Blood group,Area,Name,Contact,,Name,Contact,Area,Any other details,,Name,Area,Contact ,Cost per day,Any other details,,Name,Area,Contact ,Any other details,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMEE ENTERPRISE,Tocilizumab,"B/H. GUJRATI KUMAR SHALA NO 1SHIYAPURAROAPURA, BARODABARODA 390 001,BARODA,390001",0265-2432244,ameeeterprise1989@yahoo.com,,,,,,,Aaditya Eye & Children Hospital,"Yogi Society, Nr. Prerana nagar, Waghodiya road",Dr. Ravi Patel,9824631278.0,15 beds vacant,,,,,,,,,,,,,,,,,,Raj Krishna ICU Ventilator Ambulance,,7947256988.0,,,,,,,,,,,,,,,,,,,,,
SHREERAJ MEDICAL AGENCY,Tocilizumab," SMURTI BUILDING 'SIYAPURA, RAOPURABARODA 390 001,BARODA,390001",0265 - 438768,,,,,,,,Aashray Hospital (Unit of Unity Hospital),"Opp. Nandish Complex, Narayan Gardan Road, New Alkapuri, Gotri",Dr. Khushbu Prajapati,8238700093.0,2 beds vacant,,,,,,,,,,,,,,,,,,Shree Jala ICU Ventilator Ambulance Service,,7947076930.0,,,,,,,,,,,,,,,,,,,,,
PALAK MEDICAL AGENCY,Tocilizumab,"1, SHREE SAI COMPLEX,NEAR MADHWANI CLASSES,B/H. SANSTHA VASAHAT,RAOPURA, BARODA,BARODA,390001",2.65243276124158e+16,,,,,,,,Abhinav Hospital,Behind ST Depo Padra - 391440,DR Nirav Patel,9426416361.0,1 bed vacant,,,,,,,,,,,,,,,,,,Shri Krishna Ambulance Services,,7947079340.0,,,,,,,,,,,,,,,,,,,,,
SANTRAM MEDICAL AGENCY,Tocilizumab,"R/02/121, SHIYAPURA, RAOPURA,VADODARA,390001",9429136600.0,,,,,,,,"Akshar Hospital (Extension of Shreeji Hospital, Maneja)","Patidar Complex, Por. Ta. Vadodara",Dr. Upesh Parmar,9099922964.0,7 beds vacant,,,,,,,,,,,,,,,,,,Dr At Doorstep,,7947256964.0,,,,,,,,,,,,,,,,,,,,,
RELIANCE MEDICAPS,Tocilizumab,"VADI WADIRAOPURA PATIDAR MOHALLABARODA,BARODA,390001",9825034579.0,,,,,,,,Ami Hospital,"Vaikunth-1, Near shree Ambe School, Waghodia road",Dr. Ketul SHah,9724507634.0,8 beds vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATC PHARMA PVT. LTD.,Tocilizumab,"MILKAT NO. 08, 22903 021, 4TH FLOORPATEL COMPLEXPATNI MOHALLAWADIWADI, RAOPURA,BARODA,390001",,,,,,,,,Apex Multispeciality hospital,"Opp. CCD, Nr. Manisha Chowkdi",Dr. Snehal Tadhani,8160759254.0,10 beds vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Armaan Children Hospital,"Kishan Complex, Opp Yash Complex, Gotri Road",Dr. Bhavin Leua,9825315910.0,7 beds vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Astha Children Hospital,"New Narayan Nagar Society, Opp. Aurum Complex, Vasna road","Dr. Ashish Murawala, Dr. Parth Joshi",7990843247.0,15 beds vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Atri Sushrusha Hospital & ICU (Extension of Dev Hospital & ICU, Tarsali)","Timbarva, Ta. Sinor",Dr. Keyur Bamaniya,9664546829.0,40 beds vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
