,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicines (Remdesivir and Others),,,,,,Oxygen,,,,,Hospital Beds,,,,,Plasma/ Blood,,,,,Tiffin Services,,,,,Quarantine Centres,,,,,,Other Miscelleanous Services,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distributor Name,Medicine name,Area,Contact,Any other details,,Distributor Name,Area,Mobile no.,Any other details,,Hospital Name,Area,Contact ,Any other details,,Blood group,Area,Name,Contact,,Name,Contact,Area,Any other details,,Name,Area,Contact ,Cost per day,Any other details,,Name,Area,Contact ,Any other details,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Awadh oxygen pvt ltd,Tarapur MIDC,9823717831,,,Dhawale Hospital,"Boisar Rd, opposite S.T Workshop",7720016357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Indo oxygen Pvt. Ltd.,"Plot No. N-211/2/2, M.I.D.C., Tarapur Industrial Area","9673734572, 9814145420, 98805 98624",Indra kumar tiwari,,Philia Hospital,"Punit Nagar, Juna Palghar","7875945592, 9225149145, 9595323223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Rohan Suresh,,7276599888,,,Tima Hospital,"Gram Panchayat, Saravali, Khaira Pada, Boisar",9834564965/8007037017,Dr. Manoj Shinde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,9224661317/8806841332,Dr. Rajendra Kelkar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Thunga Hospital,"AM-32, Tarapur M.I.D.C., Boisar","02525 270310/11, 02525 270308/09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Chinmaya Hospital,"Plot .2A/2B, Behind Panchami Hotel,Chitralaya Road, Bhimnagar, Boisar","9545217246, 8411970693 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Life Line (Adhikari) Hospital,"Bus Stop, Boisar Rd, Nagzari","7030115444, 7030119444, 8839614729 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Varad Hospital,"Building no. RC 35/7 behind TVM school, Taki Naka, Boisar.","9373246420, 9595323223, 8275075757",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
