,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicines (Remdesivir and Others),,,,,,Oxygen,,,,,Hospital Beds,,,,,,Plasma/ Blood,,,,,Tiffin Services,,,,,Quarantine Centres,,,,,,Other Miscelleanous Services,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distributor Name,Medicine name,Area,Contact,Any other details,,Distributor Name,Area,Mobile no.,Any other details,,Hospital Name,Area,Name,Contact ,Any other details,,Blood group,Area,Name,Contact,,Name,Contact,Area,Any other details,,Name,Area,Contact ,Cost per day,Any other details,,Name,Area,Contact ,Any other details,,,,,,,,,,,,,,,,,,,,,
Shakun Medical Store,Remdesivir,,9335025309,,,Murari Gas,Nadarganj,"9235302425, 7311122386", ,,KK Hospital,,,0522-2619049,16 ????? ???????,,,,,,,,,,,,,,,,,,Public Grievance Redressal,,"0522 4523000, 0522 4523950, 0522 2610145 ",.,,,,,,,,,,,,,,,,,,,,,
DN Associates,Remdesivir,Sugnamal Market 1st Floor Shop No. 839 Aminabad Lucknow,9839063042,Distributor,,Parerhat Gas,Sarojini Nagar,"9654258981, 9936232900", ,,Advance Nureo &Ganeral Hospital , ,Dr Vinod Kumar,9415022002,Ventilator Bed,,,,,,,Homemade Tiffins,"9519506414, 9519229494", ,,,,,,,,,Lucknow Corona Emergency,,"9918001558 - Mr. Vivek Singh, 9918001450 - Mr. Mahendra Dixit, 9918001519 - Mr. P.C Bhat, 9918001704 - Mr. Arvind",.,,,,,,,,,,,,,,,,,,,,,
Shrihari Enterprices,Remdesivir,,9619514067,Distributor,,Atikur Gas,,"7755844999, 9839226406", ,,Avon Hospital,,Khurram Atik Rahamani,9450374007,,,,,,,,Crystal Bowl,"0542-2312652,9519122221,7309085955", ,,,,,,,,,Ambulance service ,,9651428913,with Oxygen and ventilators available in lucknow-, ,,,,,,,,,,,,,,,,,,,,
Navaanya Healthcare ,Remdesivir,,8810526032,Distributor,,Shubham oxygen,Lucknow,9415548499,,,Apollo Hospital,,Pramit Sharma,8429029801,,,,,,,,Food meals & Langar,993696070,,,,,,,,,,Home Nursing & Services,,7905498885,Need to have all the equiptment,,,,,,,,,,,,,,,,,,,,,
Arnoa Healthcare,Remdesivir,,9920590070,Distributor,,vent on Rent,Lucknow,7080806920,,,Career Institute of Medical Science & Hospital, ,Dr. Mohammad Aizam,8318527150,,,,,,,,Alpahar,9793844607,,Food for home isolated people, ,,,,,,,Suraj Kumar Nursing Services, ,7947077214,Medical Assistance,,,,,,,,,,,,,,,,,,,,,
Naval Medical,Remdesivir,,9415953301,Distributor,,Raghav Oudh Oxygen, ,9616661656,,,SGPGI,Lucknow,Vikas Kumar Singh,9454416491,Nodal Officers to enquire for availability of beds,,,,,,,Rasoiwala,8382840000,,Food for home isolated people,,,,,,,,Elder Helpline Astha,,9307218390,,,,,,,,,,,,,,,,,,,,,,
Albino Lifescience PVT LTD,Remdesivir,,8800019190,Distributor,,Awadh Gas,Lucknow,9335710295,,,KGMU,Lucknow,Santosh Kumar Singh,9415005009,,,,,,,,Ajay Rajput,9839488395,,Food for home isolated people,,,,,,,,Chandra Laxmi Hospital,Lucknow,9654222917,"Home ICU Setup with 24/7 Nurse & Oxygen, Nurse charges 7000/day", ,,,,,,,,,,,,,,,,,,,,
Era Medical,Remdesivir,,"9140640319, 7007806859", ,,Air 6 portable Oxygen Can, ,8090390300,,,RML,Lucknow,Pallavi Mishra,9454416497,,,,,,,,Ravi ,7800678394,,Food for home isolated people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLOMAN & co,Dettol Disinfectant Spray,5 BHOOTNATH MARKET LUCKNOW,"9628333326, 9335900512",,,oxygen waia,Lucknow,8935090720,,,Integral University,Lucknow,Dr.Shubhi Singh,9454416493,,,,,,,,Sachin SHukla,9559380308,,RTPCR Test facility at home,,,,,,,,Ambulance Operator,,,,,,,,,,,,,,,,,,,,,,,,
Shanti Health Care Agency,Remdesivir,,9918009393,,,Manoj Gas,Lucknow,9935580628,,,TSM Medical College,Lucknow,Devendra Kumar,9454416496,,,,,,,,Lifecare Dignosetics,5224074694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Vasu,Lucknow,9044430691,,,Era Medical College,Lucknow,Praful Tripathi,9454416490,,,,,,,, Tiffin Time,9518857104,All over lucknow city,,,,,,,,,Kuldeep,Lucknow,9984108108,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Pratham Enterprises,Nishatganj,7235807158,,,Carrier Institute,Lucknow,Shailendra Kumar Singh,9412744122,,,,,,,,Maa Ki Rasoi,9621559097,"Gomtinagar, Aliganj, Mahanagar, Golf City, Indiranagar, Omaxe",,,,,,,,,Fedral Ambulance,Lucknow,9984108108,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Vivekanand Hospital,Lucknow,Naveen Kumar,9415005008,,,,,,,,My Kitchen Garden,8299862854,All over Lucknow city,,,,,,,,,Yogendra,Lucknow,9810508033,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Vasu Gupta Sachdeva,Lalbagh,9044430691,Oxygen Cylinders for Purchase,,Sahara Hospital,Lucknow,Apoorva Yadav,8377022087,,,,,,,,Summit Tiffin Service,80096 61722,"Aliganj, Mahanagar",,,,,,,,,Monu Ambulance Service,Lucknow,9152392249,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Star Gas Agency,,"9935580628, 9621942015",Oxygen Cylinders for Purchase,,Medanta,Lucknow,Amit Kumar,9265020969,,,,,,,,Apna Dabba,7007441934,All over Lucknow city,,,,,,,,,Sms Healthcare Ambulance Services,Lucknow,9152556928,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Salim,,8429271920,Oxygen Cylinders for Purchase,,Apollo Medical Hospital,Lucknow,Mahendra Kumar Pandey,9415249759,,,,,,,,,,,,,,,,,,,Jmv healthcare Ambulance Service,Lucknow,9152170317,,,,,,,,,,,,,,,,,,,,,,
