,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicines (Remdesivir and Others),,,,,,Oxygen,,,,,Hospital Beds,,,,,Plasma/ Blood,,,,,Tiffin Services,,,,,Quarantine Centres,,,,,,Other Miscelleanous Services,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distributor Name,Medicine name,Area,Contact,Any other details,,Distributor Name,Area,Mobile no.,Any other details,,Hospital Name,Area,Contact ,Any other details,,Blood group,Area,Name,Contact,,Name,Contact,Area,Any other details,,Name,Area,Contact ,Cost per day,Any other details,,Name,Area,Contact ,Any other details,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rathi Medical,,20 BRG Market,0562-2269304,,,Sujeet oxygen,Agra,8737026009,,,Shrijan hospital,Prayagraj,9935532134,,,,,,,,,,,,,,,,,,,Warsi Ambulance,,9198626830,with oxygen & ventilator, ,,,,,,,,,,,,,,,,,,,,
ASTHA MEDICAL AGENCY(,Tocilizumab,"83/85,LEADER ROADALLAHABAD,ALLAHABAD,211003",9415316480,,,,,8756400408,,,Shakuntala hospital,Prayagraj,9415216165,,,,,,,,,,,,,,,,,,, LRT ICU Ambulance,,9695119996,with oxygen & ventilator, ,,,,,,,,,,,,,,,,,,,,
MEDICINE HOUSE,Tocilizumab,"97, LEADER ROADALLAHABAD,ALLAHABAD,211003",9415235316,,,,,7905636611,,,Nav Jyoti hospital,Prayagraj,7007519435,,,,,,,,,,,,,,,,,,,Rakesh Ambulance ,,9415818834,with oxygen, ,,,,,,,,,,,,,,,,,,,,
NANAK MEDICAL AGENCIES ALLAHABAD,Tocilizumab,"Laxmi Narain marketShahganj , Leader Road32/27,46GAllahabad,ALLAHABAD,211003","0532-3245425, 9415236618",,,Prayag Drug Agengcy,Leader Road, 99568 25451,,,Yash hospital,Prayagraj,9235659064,,,,,,,,,,,,,,,,,,,JK Ambulance,,7947278065,with oxygen & ventilator,,,,,,,,,,,,,,,,,,,,,
S.S.TRADERS,Tocilizumab,"19 E/11,KAMLA NEHRU ROADCIVIL LINESPO SADARPS SADAR,ALLAHABAD,211003",,,,Danish Bhai ,,8081575397,,,Vineeta hospital,Prayagraj,9336841609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mayur Gases Pvt. Ltd. Virender Kumar Agrawal,Gorakhpur,9453033818,,,Sanjeevani hospital,Prayagraj,5322467258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Modi Chemicals & Industries,"GIDA Industrial Area Phase 1, sector -13, Sahjanwa, Uttar Pradesh 273209, India",9838203509,,,Shivshakti hospital,Prayagraj,532 22407500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Radhika air product,Aligarh,8923335227,,,Ankur Hospital,"1B/26, Near Bamrauli Airport, GT Road, Bamrauli",0532-2580429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Kc industries,Aligarh,9319032490,,,Dr. Arun Gupta,Prayagraj,9415279975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Radha industrial gases,Aligarh,9997229249,,,Aashirwad hospital,Prayagraj,9335143515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,KA gases,Aligarh,9358258029,,,Jeevan jyoti hospital,Prayagraj,9.15322E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Imperial Gases Ltd,Prayagraj,9415239030,,,Organ hospital,Prayagraj,9415235157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Pertat gases,Prayagraj,9415016923,,,Gama chitiksa sansthan,Prayagraj,7947277963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,V. 5. Industries,Bareilly,9837002074,,,Ojha Hospital,Prayagraj,7947133672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5 P Industries,Bareilly,8899253909,,, Vatsalya Hospital ,"6, 8, Elgin Rd, Civil Lines, Prayagraj",9415215123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Inder & Company,Jhansi,8400118400,,,Kamala Nehru Memorial Hospital,,0532 246 6666,21 oxygen beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Murari Industrial Gases,Kanpur,9415040705,,,Tej Bahadur Sapru Hospital ,,9119800620,80 Oxygen beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Panki Oxygen,Kanpur,7275000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sri Anil Babbar,Kanpur,9335732699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Naini Cotton mill plant,Prayagraj,6394214473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Narayan gas service,Prayagraj,"7233881234, 9696941234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Lalita Medicos,"5 Khatri Pathshala Market,, Meerapur",9307445594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Naini Oxygen Plant,Prayagraj,8081575397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mr. Sumit Luthra,Near by UCEM,8726772225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Himanshi Jaiswal,,93055 86178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Triveni Oxygen,"160, Jeevan Jyoti, Bai Ka Bagh, Prayagraj, Uttar Pradesh",9935663423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Siddhant Enterprises,"160, Near Jeevan Jyoti Hospital, Rambagh, Prayagraj",8595151944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Parerhat Industries Ltd,"Catton, Sabzi Mandi, Ashok Talkis Chauraha, Naini, Prayagraj",7947278194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
