General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,lat,lng,Location,Distributor Name,Distributor Contact (Phone)
Madhya Pradesh,Indore,Plasma / Blood,Blood group: 2 available,,22.7195687,75.8577258,Indore,Team Pc2Go,"['+918305947080', '+919424547080']"
Madhya Pradesh,Indore,Tiffin Services,"Notes: Marijo aur bujurgo ko food, medicine etc ghar pahunch seva de rhe",,22.7195687,75.8577258,Indore,Gold Coin Seva Trust,"['+919827322323', '+919425077136']"
Madhya Pradesh,Indore,Other,Notes: Ambulance,,22.7195687,75.8577258,Indore,Ram Verma,['+919926103302']
Madhya Pradesh,Indore,Oxygen,Notes: Oxygen Concentrator - Whatsapp Call only,,22.7195687,75.8577258,Indore,Sagar,['+919926398845']
Madhya Pradesh,Indore,Hospital Beds,,True,22.732315,75.88987,,Dr. Amit Sarikwal,['+918989111177']
Madhya Pradesh,Indore,Plasma / Blood,,,22.7195687,75.8577258,Indore,Manoj Shrivastav,[]
Madhya Pradesh,Indore,Tiffin Services,,,22.7195687,75.8577258,Indore,Apni Rasoi,['+918889972763']
Madhya Pradesh,Indore,Other,Notes: Ambulance,,22.7195687,75.8577258,Indore,Raju Sharma,['+919630272542']
Madhya Pradesh,Indore,Oxygen,"Notes: Oxygen Machine, Cylinder, Wheel Chair, Palang aur Free Medicine Sewa",,22.7195687,75.8577258,Indore,Maruti Nandan Balaji Sewa Sansthan,['+917313282702']
Madhya Pradesh,Indore,Hospital Beds,,,22.7813964,75.9034525,Dewas Naka,Maharana Hospital,['+917314070002']
Madhya Pradesh,Indore,Plasma / Blood,Blood group: Plasma Available (Any Blood Group) In Exchange:,,22.7195687,75.8577258,Indore,,['+919993709777']
Madhya Pradesh,Indore,Tiffin Services,,,22.7195687,75.8577258,Indore,Jain Mithai Bhandar,['+919630984000']
Madhya Pradesh,Indore,Other,Notes: Ambulance,,22.7195687,75.8577258,Indore,Raghuveer,"['+918458935255', '+919826013790']"
Madhya Pradesh,Indore,Oxygen,,,22.7195687,75.8577258,Indore,Kamal,['+918109490001']
Madhya Pradesh,Indore,Hospital Beds,Notes: ICU bed,True,22.7319414,75.9074512,,Roshan Patidar,['+919340819001']
Madhya Pradesh,Indore,Plasma / Blood,Blood group: Plasma,,22.7195687,75.8577258,Indore,Deep Agrawal,[]
Madhya Pradesh,Indore,Tiffin Services,,,22.7195687,75.8577258,Indore,Lunch On,['+919926632000']
Madhya Pradesh,Indore,Other,Notes: Ambulance,,22.7195687,75.8577258,Indore,Rk Jain,['+919826438915']
Madhya Pradesh,Indore,Oxygen,"Notes: Oxygen Refill Available, 10 Ltrs (Free Of Cost ,Bring Your Cylinder) #Verified 1:04",,22.7195687,75.8577258,Indore,Ramesh Mandola Groups,"['+919827233147', '+919424054880', '+919302100586']"
Madhya Pradesh,Indore,Hospital Beds,Notes: Oxygen bed,True,22.4299584,75.619766,,Manpur Hospital,['+918109079346']
Madhya Pradesh,Indore,Plasma / Blood,Blood group: Plasma,,22.7195687,75.8577258,Indore,Amit Ji,['+919691190195']
Madhya Pradesh,Indore,Tiffin Services,,,22.7195687,75.8577258,Indore,The Kitchen Story,['+919522113311']
Madhya Pradesh,Indore,Other,Notes: Ambulance,,22.7195687,75.8577258,Indore,Ravi Verm Sankalp Sewa,['+919630272542']
Madhya Pradesh,Indore,Oxygen,,,22.7195687,75.8577258,Indore,Satyam,['+918770337273']
Madhya Pradesh,Indore,Hospital Beds,Notes: Oxygen bed,True,22.71337,75.91763069999999,,Sandeep,['+918109079346']
Madhya Pradesh,Indore,Plasma / Blood,Blood group: Plasma,,22.7195687,75.8577258,Indore,Moiz Kapadiya,['+918719069891']
Madhya Pradesh,Indore,Tiffin Services,,,22.7195687,75.8577258,Indore,Siddharth Kakwani,['+919617315665']
Madhya Pradesh,Indore,Oxygen,"Notes: 10Ltrs - 200 Rs (Carry Your Cylinder,He has no Cylinders Available)",,22.7195687,75.8577258,Indore,Gaurav,['+919893500400']
Madhya Pradesh,Indore,Hospital Beds,Notes: Norba bed,True,22.7500894,75.9027734,,Hotel Census,['+919424584450']
Madhya Pradesh,Indore,Plasma / Blood,Blood group: Plasma,,22.7195687,75.8577258,Indore,,[]
Madhya Pradesh,Indore,Tiffin Services,,,22.7195687,75.8577258,Indore,Mother'S Delight,['+919111014718']
