General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,lat,lng,Location,Distributor Contact (Phone)
Maharashtra,Aurangabad,Other,,,Oxygen,19.8761653,75.3433139,Aurangabad,['+919304445205']
Maharashtra,Aurangabad,Other,Notes: some normal O2 and ICU beds.,True,G-1 Covid Hospital,19.8761653,75.3433139,,['+919422881603']
Maharashtra,Aurangabad,Other,,True,Ambulance Services,19.8687683,75.358036,,"['+919529022297', '+918788173732']"
Maharashtra,Aurangabad,Other,Notes: Manish Mittal,,Sagar Gases Pvt Ltd,19.8761653,75.3433139,Aurangabad,"['+919764377999', '+919029070742']"
Maharashtra,Aurangabad,Other,,True,Ambulance Help Rider Team,19.8687683,75.358036,,['+919923568383']
Maharashtra,Aurangabad,Other,,True,Emergency Services,19.8687683,75.358036,,"['+918888819017', '+919579422121']"
Maharashtra,Aurangabad,Other,Notes: R K Chopra,,Rukmani Metals And Gases,19.8761653,75.3433139,Aurangabad,['+919922443055']
Maharashtra,Aurangabad,Other,Notes: Manish Agarwal,,Shivam,19.8761653,75.3433139,Aurangabad,['+919225577999']
Maharashtra,Aurangabad,Other,Notes: Ajeet jain,,Surshil Gases,19.8761653,75.3433139,Aurangabad,['+919423782799']
Maharashtra,Aurangabad,Other,Notes: Sanjay Agrawal,,Essem Gases Pvt. Ltd.,19.8688434,75.6075248,Jalna,['+919823088673']
