General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,Location,Distributor Contact (Phone)
Gujarat,Rajkot,Medicines,Medicine name: Tocilizumab ; Notes: bharatvivekgondal@gmail.com,,Bharat Medical Agency,"F-Failash Complexbus Station Rd.Gondal,Gondal,360311",['+919979052005']
Gujarat,Rajkot,Oxygen,Notes: Refill also available,,Jayditya Gas Agency,Raiyya Chokdi,['+919104811112']
Gujarat,Rajkot,Hospital Beds,Notes: Aanal,True,,,['+919979139999']
Gujarat,Rajkot,Other,Notes: Financial Help to corona patients & families,,Ziks Group,Rajkot,['+919723425704']
Gujarat,Rajkot,Medicines,Medicine name: Tocilizumab ; Notes: kotechaent@yahoo.com,,Kotecha Enterprise,"Dhanraj,Dr. Radhakrishna Road,Rajkotrajkot,Rajkot,360001","['+912812450230', '+912816539330']"
Gujarat,Rajkot,Other,Notes: Home Care,True,Aanal,,['+919979139999']
Gujarat,Rajkot,Medicines,Medicine name: Tocilizumab,,Saurashtra Surgical Medical Agency,"Maitri Opp.Taluka Schoolnr.Moti Tanki,P.O.Box 123Rajkot,Rajkot,360001",['+919825223432']
Gujarat,Rajkot,Other,,,Covid Help,Rajkot,['+919499806828']
Gujarat,Rajkot,Medicines,Medicine name: Tocilizumab,,Shree Shakti Agency,"1-2, Orbit Centreground Floor,Moti Tanki Chowkrajkot,Rajkot,360001",['+912812460870']
Gujarat,Rajkot,Medicines,Medicine name: Tocilizumab,,Shree Ram Medical Agencies,"Giriraj Kunj,Dr.Rajendra Prasad Road,Rajkotrajkot F 24,Rajkot,360001",['+912812447183']
Gujarat,Rajkot,Medicines,Medicine name: Tocilizumab,,Rajendra Pharmacy,"Arihant Plaza Ground Floor,Moti Tankichockrajkot.,Rajkot,360001",['+912812449826']
Gujarat,Rajkot,Medicines,Medicine name: Tocilizumab,,Suraj Enterprise,"Dr.Radhakrishna Road,Nr. Moti Tanki,Rajkot,Rajkot,360001",['+912812449826']
Gujarat,Rajkot,Medicines,Medicine name: Tocilizumab,,Shubham Agencies,"F-Kailash Complex 1St Floor,""Bus Station Road,Gondalgondal  360 311,Gondal,360311",['+912825650158']
Gujarat,Rajkot,Medicines,Medicine name: Tocilizumab,,Aalap Medical Agency,"108, Aalap -A Complex,108, Aalap -A Complex,Limbda Chowk,Rajkot,Rajkot,360001","['+912812464275', '+912816539670']"
Gujarat,Rajkot,Medicines,Medicine name: Tocilizumab,,Labh Agencies,"106/107, Gurukrupa Towermoti Tanki Chawkrajkot,Rajkot,360001",['+919428344807']
