General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,lat,lng,Location,Distributor Contact (Phone)
Maharashtra,Nashik,Oxygen,,,Bharat Oxygen,20.0168226,73.735682,Near Gangapur Road,['+912532313041']
Maharashtra,Nashik,Hospital Beds,,,New Covid Center,20.1654012,73.9879323,Pimpalgaon Baswant,['+918329938585']
Maharashtra,Nashik,Oxygen,Notes: Rao,True,Bharat Commercial Centre,20.010044,73.771258,,['+918600828485']
Maharashtra,Nashik,Hospital Beds,Notes: Oxygen Beds,,Samruddhi Hospital,19.9972159,73.84468059999999,"Aurangabad Road, Nadur Naka, Nashik",['+919545059004']
Maharashtra,Nashik,Oxygen,Notes: Anil Sathe,True,Nikhil Medico,19.998485,73.75293400000001,,"['+919422749454', '+919822012384']"
Maharashtra,Nashik,Hospital Beds,,,Shiv Ashirwad Covid Care Center,19.9329971,73.764042,Plot No 31 Opp To S.S.K World Pathardi Gavlane Road Pathardi,['+919158076937']
Maharashtra,Nashik,Oxygen,Notes: Amol Jadhav,True,Pinnacle Industries,19.954262,73.755217,,"['+919422246669', '+918983052777']"
Maharashtra,Nashik,Oxygen,Notes: Suned Sathe,True,Ravindra Oxygens Pvt Ltd,19.9967059,73.74838009999999,,['+919860314400']
Maharashtra,Nashik,Oxygen,Notes: Sunny,True,Sunny Industrial Gases Pvt Ltd,19.9494335,73.72162759999999,,['+919049809998']
Maharashtra,Nashik,Oxygen,Notes: Nilesh,True,Pinnacle Gases,19.954262,73.755217,,['+918983052777']
Maharashtra,Nashik,Oxygen,,True,Yash Udyog,19.9552641,73.75433970000002,,['+919922089271']
Maharashtra,Nashik,Oxygen,Notes: Ashish Jajo,,Laxmi Gases,19.8479813,73.9889645,Sinner,['+919370025610']
