General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,lat,lng,Location,Distributor Contact (Phone)
Madhya Pradesh,Gwalior,Hospital Beds,Notes: ICU and Oxygen Beds,True,Shree Multispeciality Hospital,26.2225927,78.2225175,,['+917987521413']
Madhya Pradesh,Gwalior,Other,Notes: Dharmendra,True,Just Call Ambulance Service,26.2117547,78.18540569999999,,"['+916264463399', '+916260699490']"
Madhya Pradesh,Gwalior,Hospital Beds,Notes: ICU and Oxygen Beds,True,Siddhant Hospital,26.1910256,78.1660229,,['+918878014133']
Madhya Pradesh,Gwalior,Other,Notes: Vicky Yadav,True,Balaji Ambulance Service,26.2208223,78.20773679999999,,['+918269638986']
Madhya Pradesh,Gwalior,Hospital Beds,Notes: ICU and Oxygen Beds,True,Rudrakhsa Hospital,26.2294335,78.22580920000001,,['+917000826472']
Madhya Pradesh,Gwalior,Other,Notes: Vikas,True,Surange Ambulance Services,26.1967134,78.1516864,,['+919827063799']
Madhya Pradesh,Gwalior,Hospital Beds,"Notes: 30 isolation beds, 10 oxygen beds available.",True,S.R Memorial Hospital,26.2061365,78.1206326,,['+919424561369']
Madhya Pradesh,Gwalior,Other,Notes: Ajit Singh,True,"Tomar Ambulance Services,",26.1974808,78.1734716,,['+917947388138']
Madhya Pradesh,Gwalior,Hospital Beds,"Notes: 4 isolation beds, 4 Oxygen beds available",True,S.S.T Hospital,26.2459443,78.18475269999999,,['+918827415768']
Madhya Pradesh,Gwalior,Hospital Beds,"Notes: 30 isolation beds, 10 oxygen beds available",True,Morar Isolation Centre,26.2234069,78.2290269,,['+918319343292']
Madhya Pradesh,Gwalior,Hospital Beds,"Notes: 1 isolation bed, 2 oxygen beds and 1 ventilator",True,Siddhant Hospital,26.1910256,78.1660229,,['+918878014133']
