General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,Location,Distributor Contact (Phone)
Telangana,Telangana,Medicines,Medicine name: Tocilizumab ; Notes: Distributor,,Amrutha Agencies,"8-12-148/5,D.S.Temple Lane,Warangal,Warangal,506002",[]
Telangana,Telangana,Medicines,Medicine name: Tocilizumab ; Notes: Distributor,,Balaji Pharma Distributors,"Door No:4-1-68,Mallikarjuna Complexosmanpurakarimnagar,Karimnagar,505001","['+919849234470', '+918786600736']"
Telangana,Telangana,Medicines,Medicine name: Tocilizumab ; Notes: Distributor,,Nagarjuna Medical Hall,"D.No: 5-7-64, G4,Feel Well Towers, Khaleelwadi,Nizamabad.,Nizamabad,503001",['+919848071459']
Telangana,Telangana,Medicines,Medicine name: Tocilizumab ; Notes: Distributor,True,Radha Krishna Medical Agencies,,[]
Telangana,Telangana,Medicines,Medicine name: Tocilizumab ; Notes: Distributor,,Sri Balaji Drugs,"H.No.4-6-65,Dwaraka Nagarkarimnagar,Karimnagar,505001","['+919866012309', '+919866012308']"
Telangana,Telangana,Medicines,Medicine name: Tocilizumab ; Notes: Distributor,,Sheshadri Pharma Distributors,"D.No: 3-3-180/C,Ground & First Floor,Sawaran Street,Karimnagar,Karimnagar,505011",['+919246932217']
Telangana,Telangana,Medicines,Medicine name: Tocilizumab ; Notes: Distributor,,Srinivasa Medical Distributors (Kmm,"10-2-111,Ground Floor,Shop No : 3,Bus Depot Road, Opp.Pavillion Groundkhammam - 507 001.,Khammam,507001","['+919030183067', '+919866012308']"
Telangana,Telangana,Medicines,Medicine name: Tocilizumab ; Notes: Distributor,,Sravani Medical & Surgical Distribu,"D.No:6-12-61,62,Ganesh Bastihi,Kothagudem,Kotha Gudem,507101",['+918744244481']
Telangana,Telangana,Medicines,Medicine name: Tocilizumab ; Notes: Distributor,True,,,[]
Telangana,Telangana,Medicines,Medicine name: Tocilizumab ; Notes: Distributor,True,,,[]
Telangana,Telangana,Medicines,Medicine name: Tocilizumab ; Notes: Distributor,True,,,[]
Telangana,Telangana,Medicines,Medicine name: Tocilizumab ; Notes: Distributor,True,,,[]
